uniprot_id,cluster,gene
O43615,1,TIMM44
O43617,1,TRAPPC3
O43633,1,CHMP2A
O43674,2,NDUFB5
O43676,2,NDUFB3
O43678,2,NDUFA2
O43684,1,BUB3
O43707,2,ACTN4
O43708,1,GSTZ1
O43741,1,PRKAB2
O43747,1,AP1G1
O43760,1,SYNGR2
O43765,2,SGTA
O43768,2,ENSA
O43772,1,SLC25A20
O43776,1,NARS1
O43813,2,LANCL1
O43826,1,SLC37A4
O43837,2,IDH3B
O43852,2,CALU
O43865,1,AHCYL1
O43920,2,NDUFS5
O60220,1,TIMM8A
O60237,1,PPP1R12B
O60256,2,PRPSAP2
O60271,1,SPAG9
O60313,1,OPA1
O60343,1,TBC1D4
O60493,1,SNX3
O60506,1,SYNCRIP
O60613,1,SELENOF
O60662,2,KLHL41
O60664,2,PLIN3
O60684,1,KPNA6
O60749,1,SNX2
O60763,2,USO1
O60784,2,TOM1
O60825,1,PFKFB2
O60869,1,EDF1
O60884,2,DNAJA2
O60888,2,CUTA
O60925,1,PFDN1
O60936,2,NOL3
O75083,2,WDR1
O75112,2,LDB3
O75122,1,CLASP2
O75128,1,COBL
O75131,1,CPNE3
O75153,1,CLUH
O75155,2,CAND2
O75208,2,COQ9
O75223,1,GGCT
O75251,2,NDUFS7
O75298,2,RTN2
O75306,2,NDUFS2
O75323,2,NIPSNAP2
O75339,1,CILP
O75347,2,TBCA
O75348,1,ATP6V1G1
O75351,1,VPS4B
O75368,1,SH3BGRL
O75369,2,FLNB
O75380,2,NDUFS6
O75390,2,CS
O75396,1,SEC22B
O75431,2,MTX2
O75436,1,VPS26A
O75438,2,NDUFB1
O75439,1,PMPCB
O75489,2,NDUFS3
O75521,2,ECI2
O75531,2,BANF1
O75534,1,CSDE1
O75569,1,PRKRA
O75608,2,LYPLA1
O75663,1,TIPRL
O75688,1,PPM1B
O75746,2,SLC25A12
O75764,1,TCEA3
O75821,1,EIF3G
O75822,2,EIF3J
O75832,1,PSMD10
O75874,2,IDH1
O75880,2,SCO1
O75891,2,ALDH1L1
O75915,2,ARL6IP5
O75923,2,DYSF
O75928,2,PIAS2
O75935,1,DCTN3
O75947,2,ATP5PD
O75955,1,FLOT1
O75964,2,ATP5MG
O76003,1,GLRX3
O76070,1,SNCG
O94760,2,DDAH1
O94811,1,TPPP
O94812,2,BAIAP3
O94826,1,TOMM70
O94874,1,UFL1
O94886,1,TMEM63A
O94903,1,PLPBP
O94905,2,ERLIN2
O94919,2,ENDOD1
O94979,1,SEC31A
O95139,2,NDUFB6
O95140,1,MFN2
O95167,2,NDUFA3
O95168,2,NDUFB4
O95169,2,NDUFB8
O95182,2,NDUFA7
O95197,1,RTN3
O95202,2,LETM1
O95210,2,STBD1
O95218,1,ZRANB2
O95278,1,EPM2A
O95292,2,VAPB
O95298,2,NDUFC2
O95299,2,NDUFA10
O95336,1,PGLS
O95359,1,TACC2
O95372,1,LYPLA2
O95373,1,IPO7
O95376,1,ARIH2
O95394,1,PGM3
O95425,1,SVIL
O95433,1,AHSA1
O95479,1,H6PD
O95563,2,MPC2
O95571,1,ETHE1
O95573,2,ACSL3
O95671,1,ASMTL
O95674,1,CDS2
O95721,1,SNAP29
O95747,1,OXSR1
O95777,1,LSM8
O95782,1,AP2A1
O95810,1,CAVIN2
O95816,1,BAG2
O95817,2,BAG3
O95822,1,MLYCD
O95831,2,AIFM1
O95834,1,EML2
O95861,1,BPNT1
O95865,1,DDAH2
O95870,1,ABHD16A
O95881,1,TXNDC12
O95989,1,NUDT3
O96000,2,NDUFB10
O96005,1,CLPTM1
O96007,1,MOCS2
O96008,1,TOMM40
O96011,1,PEX11B
P00167,1,CYB5A
P00325,2,ADH1B
P00338,2,LDHA
P00352,2,ALDH1A1
P00367,2,GLUD1
P00387,2,CYB5R3
P00390,2,GSR
P00395,2,MT-CO1
P00403,2,MT-CO2
P00414,2,MT-CO3
P00441,2,SOD1
P00450,1,CP
P00488,1,F13A1
P00492,1,HPRT1
P00505,2,GOT2
P00558,2,PGK1
P00568,2,AK1
P00738,2,HP
P00751,1,CFB
P00846,2,MT-ATP6
P00918,2,CA2
P00966,1,ASS1
P01009,2,SERPINA1
P01011,2,SERPINA3
P01019,1,AGT
P01023,2,A2M
P01024,2,C3
P01034,1,CST3
P01040,1,CSTA
P01591,1,JCHAIN
P01619,1,IGKV3-20
P01780,1,IGHV3-7
P01834,2,IGKC
P01857,2,IGHG1
P01859,2,IGHG2
P01860,2,IGHG3
P01871,2,IGHM
P01876,2,IGHA1
P01889,1,HLA-B
P01911,1,HLA-DRB1
P02144,2,MB
P02452,1,COL1A1
P02461,2,COL3A1
P02462,2,COL4A1
P02511,2,CRYAB
P02533,2,KRT14
P02545,2,LMNA
P02585,2,TNNC2
P02649,1,APOE
P02655,1,APOC2
P02750,1,LRG1
P02751,1,FN1
P02753,1,RBP4
P02763,2,ORM1
P02766,2,TTR
P02768,2,ALB
P02786,1,TFRC
P02787,2,TF
P02792,2,FTL
P02794,2,FTH1
P02795,2,MT2A
P03886,2,MT-ND1
P03891,1,MT-ND2
P03897,1,MT-ND3
P03905,2,MT-ND4
P03915,2,MT-ND5
P03928,2,MT-ATP8
P04040,2,CAT
P04075,2,ALDOA
P04080,2,CSTB
P04083,2,ANXA1
P04179,2,SOD2
P04264,2,KRT1
P04275,1,VWF
P04406,2,GAPDH
P04439,1,HLA-A
P04632,2,CAPNS1
P04792,2,HSPB1
P04843,2,RPN1
P04844,1,RPN2
P04899,2,GNAI2
P05023,2,ATP1A1
P05026,2,ATP1B1
P05090,2,APOD
P05091,2,ALDH2
P05109,2,S100A8
P05141,2,SLC25A5
P05155,1,SERPING1
P05165,1,PCCA
P05166,1,PCCB
P05198,2,EIF2S1
P05386,2,RPLP1
P05387,2,RPLP2
P05388,2,RPLP0
P05413,2,FABP3
P05452,1,CLEC3B
P05455,1,SSB
P05556,1,ITGB1
P05783,2,KRT18
P05787,2,KRT8
P05976,2,MYL1
P06396,2,GSN
P06454,1,PTMA
P06576,2,ATP5F1B
P06702,2,S100A9
P06703,2,S100A6
P06730,1,EIF4E
P06732,2,CKM
P06733,2,ENO1
P06737,2,PYGL
P06744,2,GPI
P06748,2,NPM1
P06753,2,TPM3
P07099,2,EPHX1
P07108,2,DBI
P07195,2,LDHB
P07203,2,GPX1
P07237,2,P4HB
P07305,2,H1-0
P07339,2,CTSD
P07355,2,ANXA2
P07384,2,CAPN1
P07437,2,TUBB
P07451,2,CA3
P07585,2,DCN
P07602,2,PSAP
P07737,2,PFN1
P07738,2,BPGM
P07741,2,APRT
P07814,2,EPRS1
P07858,1,CTSB
P07900,2,HSP90AA1
P07919,2,UQCRH
P07951,2,TPM2
P07954,2,FH
P08123,1,COL1A2
P08133,2,ANXA6
P08237,2,PFKM
P08238,2,HSP90AB1
P08294,1,SOD3
P08311,1,CTSG
P08559,2,PDHA1
P08572,2,COL4A2
P08574,2,CYC1
P08590,2,MYL3
P08603,1,CFH
P08621,1,SNRNP70
P08651,1,NFIC
P08670,2,VIM
P08697,1,SERPINF2
P08708,1,RPS17
P08727,2,KRT19
P08758,2,ANXA5
P08865,2,RPSA
P09012,1,SNRPA
P09104,2,ENO2
P09110,1,ACAA1
P09211,2,GSTP1
P09382,2,LGALS1
P09417,2,QDPR
P09429,2,HMGB1
P09467,2,FBP1
P09488,2,GSTM1
P09493,2,TPM1
P09497,1,CLTB
P09525,1,ANXA4
P09601,1,HMOX1
P09622,2,DLD
P09651,1,HNRNPA1
P09669,2,COX6C
P09874,1,PARP1
P09913,2,IFIT2
P09936,2,UCHL1
P09960,2,LTA4H
P09972,2,ALDOC
P0CW19,1,LIMS3
P0DMV8,2,HSPA1A
P0DOY2,2,IGLC2
P0DOY3,2,IGLC3
P0DP23,2,CALM1
P10109,1,FDX1
P10176,2,COX8A
P10253,1,GAA
P10301,2,RRAS
P10398,1,ARAF
P10515,2,DLAT
P10599,2,TXN
P10606,2,COX5B
P10636,2,MAPT
P10644,2,PRKAR1A
P10768,2,ESD
P10809,2,HSPD1
P10828,2,THRB
P10909,1,CLU
P10916,2,MYL2
P11021,2,HSPA5
P11047,1,LAMC1
P11055,2,MYH3
P11142,2,HSPA8
P11171,1,EPB41
P11177,2,PDHB
P11182,1,DBT
P11216,2,PYGB
P11217,2,PYGM
P11233,1,RALA
P11277,2,SPTB
P11279,1,LAMP1
P11310,2,ACADM
P11441,1,UBL4A
P11532,2,DMD
P11586,2,MTHFD1
P11766,2,ADH5
P11940,1,PABPC1
P12081,1,HARS1
P12109,1,COL6A1
P12110,1,COL6A2
P12111,1,COL6A3
P12235,2,SLC25A4
P12236,2,SLC25A6
P12268,2,IMPDH2
P12277,2,CKB
P12429,1,ANXA3
P12694,1,BCKDHA
P12814,2,ACTN1
P12882,2,MYH1
P12883,2,MYH7
P12955,1,PEPD
P12956,1,XRCC6
P13010,1,XRCC5
P13073,2,COX4I1
P13164,1,IFITM1
P13473,2,LAMP2
P13489,2,RNH1
P13535,1,MYH8
P13611,2,VCAN
P13639,2,EEF2
P13645,2,KRT10
P13647,1,KRT5
P13667,2,PDIA4
P13693,2,TPT1
P13716,2,ALAD
P13796,1,LCP1
P13797,1,PLS3
P13798,2,APEH
P13804,2,ETFA
P13805,2,TNNT1
P13807,2,GYS1
P13861,2,PRKAR2A
P13929,2,ENO3
P13987,2,CD59
P14174,2,MIF
P14209,1,CD99
P14314,1,PRKCSH
P14324,1,FDPS
P14406,2,COX7A2
P14543,1,NID1
P14550,2,AKR1A1
P14618,2,PKM
P14621,2,ACYP2
P14625,2,HSP90B1
P14649,2,MYL6B
P14672,1,SLC2A4
P14735,1,IDE
P14854,2,COX6B1
P14866,1,HNRNPL
P14868,1,DARS1
P14923,1,JUP
P14927,2,UQCRB
P15088,1,CPA3
P15090,2,FABP4
P15104,1,GLUL
P15121,2,AKR1B1
P15170,1,GSPT1
P15259,2,PGAM2
P15311,1,EZR
P15374,2,UCHL3
P15531,2,NME1
P15880,2,RPS2
P15927,1,RPA2
P15954,2,COX7C
P16083,2,NQO2
P16118,2,PFKFB1
P16152,2,CBR1
P16157,1,ANK1
P16219,2,ACADS
P16298,2,PPP3CB
P16615,2,ATP2A2
P16671,2,CD36
P16930,2,FAH
P16989,2,YBX3
P17152,2,TMEM11
P17174,2,GOT1
P17540,2,CKMT2
P17568,2,NDUFB7
P17612,2,PRKACA
P17655,2,CAPN2
P17661,2,DES
P17858,2,PFKL
P17931,1,LGALS3
P17948,1,FLT1
P17980,2,PSMC3
P17987,2,TCP1
P18077,1,RPL35A
P18085,1,ARF4
P18124,2,RPL7
P18206,2,VCL
P18621,1,RPL17
P18669,2,PGAM1
P18859,2,ATP5PF
P19075,1,TSPAN8
P19237,2,TNNI1
P19338,2,NCL
P19367,2,HK1
P19404,2,NDUFV2
P19623,1,SRM
P19971,1,TYMP
P20020,1,ATP2B1
P20042,1,EIF2S2
P20073,2,ANXA7
P20231,2,TPSB2
P20290,1,BTF3
P20340,1,RAB6A
P20472,2,PVALB
P20618,2,PSMB1
P20674,2,COX5A
P20807,2,CAPN3
P20810,2,CAST
P20929,2,NEB
P20962,1,PTMS
P21266,2,GSTM3
P21281,1,ATP6V1B2
P21291,2,CSRP1
P21333,2,FLNA
P21397,2,MAOA
P21399,2,ACO1
P21695,2,GPD1
P21796,2,VDAC1
P21810,1,BGN
P21817,2,RYR1
P21912,2,SDHB
P21964,1,COMT
P21980,1,TGM2
P22033,1,MMUT
P22059,1,OSBP
P22061,2,PCMT1
P22102,1,GART
P22234,1,PAICS
P22307,1,SCP2
P22314,2,UBA1
P22352,1,GPX3
P22392,2,NME2
P22570,1,FDXR
P22626,1,HNRNPA2B1
P22695,2,UQCRC2
P22830,2,FECH
P23109,2,AMPD1
P23142,1,FBLN1
P23246,1,SFPQ
P23284,1,PPIB
P23297,2,S100A1
P23327,2,HRC
P23368,1,ME2
P23381,2,WARS1
P23396,2,RPS3
P23434,1,GCSH
P23526,2,AHCY
P23528,2,CFL1
P23588,1,EIF4B
P23634,1,ATP2B4
P23786,2,CPT2
P24043,1,LAMA2
P24298,2,GPT
P24310,2,COX7A1
P24311,1,COX7B
P24534,2,EEF1B2
P24539,2,ATP5PB
P24666,2,ACP1
P24752,2,ACAT1
P24844,1,MYL9
P25311,1,AZGP1
P25325,2,MPST
P25398,2,RPS12
P25686,1,DNAJB2
P25705,2,ATP5F1A
P25786,2,PSMA1
P25787,2,PSMA2
P25788,2,PSMA3
P25789,2,PSMA4
P26038,2,MSN
P26196,1,DDX6
P26368,1,U2AF2
P26373,1,RPL13
P26440,1,IVD
P26447,2,S100A4
P26583,1,HMGB2
P26639,1,TARS1
P26640,2,VARS1
P26641,2,EEF1G
P26678,2,PLN
P26885,1,FKBP2
P27105,1,STOM
P27338,2,MAOB
P27348,2,YWHAQ
P27361,1,MAPK3
P27635,2,RPL10
P27694,1,RPA1
P27695,1,APEX1
P27797,2,CALR
P27816,2,MAP4
P27824,2,CANX
P28066,2,PSMA5
P28070,2,PSMB4
P28072,2,PSMB6
P28074,2,PSMB5
P28161,2,GSTM2
P28289,1,TMOD1
P28331,2,NDUFS1
P28482,1,MAPK1
P28749,2,RBL1
P28838,2,LAP3
P28907,1,CD38
P29144,1,TPP2
P29218,2,IMPA1
P29317,2,EPHA2
P29401,1,TKT
P29692,2,EEF1D
P29966,1,MARCKS
P29992,1,GNA11
P30038,2,ALDH4A1
P30040,1,ERP29
P30041,2,PRDX6
P30043,2,BLVRB
P30044,2,PRDX5
P30046,2,DDT
P30048,2,PRDX3
P30049,2,ATP5F1D
P30050,1,RPL12
P30084,2,ECHS1
P30085,1,CMPK1
P30086,2,PEBP1
P30101,2,PDIA3
P30153,2,PPP2R1A
P30405,2,PPIF
P30419,1,NMT1
P30520,2,ADSS2
P30533,1,LRPAP1
P30536,1,TSPO
P30566,2,ADSL
P30622,1,CLIP1
P30626,1,SRI
P30740,2,SERPINB1
P30837,2,ALDH1B1
P31040,2,SDHA
P31150,2,GDI1
P31153,1,MAT2A
P31415,2,CASQ1
P31689,1,DNAJA1
P31751,1,AKT2
P31930,2,UQCRC1
P31937,2,HIBADH
P31939,2,ATIC
P31942,1,HNRNPH3
P31943,1,HNRNPH1
P31946,2,YWHAB
P31948,2,STIP1
P31949,1,S100A11
P32119,2,PRDX2
P32456,1,GBP2
P33121,2,ACSL1
P33176,2,KIF5B
P33992,2,MCM5
P34896,1,SHMT1
P34897,2,SHMT2
P34932,1,HSPA4
P34949,2,MPI
P35052,1,GPC1
P35080,2,PFN2
P35221,1,CTNNA1
P35237,2,SERPINB6
P35241,2,RDX
P35244,1,RPA3
P35268,2,RPL22
P35270,1,SPR
P35443,1,THBS4
P35555,1,FBN1
P35573,2,AGL
P35579,2,MYH9
P35606,1,COPB2
P35609,2,ACTN2
P35611,1,ADD1
P35613,2,BSG
P35637,1,FUS
P35659,1,DEK
P35749,1,MYH11
P35754,2,GLRX
P35813,1,PPM1A
P35908,2,KRT2
P35914,2,HMGCL
P35998,2,PSMC2
P36405,1,ARL3
P36507,1,MAP2K2
P36542,2,ATP5F1C
P36543,1,ATP6V1E1
P36578,1,RPL4
P36776,2,LONP1
P36871,2,PGM1
P36873,1,PPP1CC
P36955,1,SERPINF1
P36957,2,DLST
P36959,1,GMPR
P36969,2,GPX4
P37108,1,SRP14
P37802,1,TAGLN2
P37837,2,TALDO1
P37840,1,SNCA
P38117,2,ETFB
P38606,1,ATP6V1A
P38646,2,HSPA9
P39019,2,RPS19
P39023,1,RPL3
P39059,1,COL15A1
P39060,1,COL18A1
P39656,2,DDOST
P39687,2,ANP32A
P40121,1,CAPG
P40123,2,CAP2
P40227,2,CCT6A
P40429,2,RPL13A
P40763,1,STAT3
P40925,2,MDH1
P40926,2,MDH2
P40939,2,HADHA
P41091,1,EIF2S3
P41227,1,NAA10
P41236,2,PPP1R2
P41250,1,GARS1
P41252,1,IARS1
P41567,1,EIF1
P42126,2,ECI1
P42167,1,TMPO
P42330,2,AKR1C3
P42677,2,RPS27
P42704,2,LRPPRC
P42765,2,ACAA2
P42766,1,RPL35
P43007,1,SLC1A4
P43034,2,PAFAH1B1
P43155,2,CRAT
P43304,2,GPD2
P43490,2,NAMPT
P43686,1,PSMC4
P43897,1,TSFM
P45378,2,TNNT3
P45381,1,ASPA
P45877,1,PPIC
P45880,2,VDAC2
P45954,2,ACADSB
P45974,2,USP5
P45985,1,MAP2K4
P46019,2,PHKA2
P46020,2,PHKA1
P46109,1,CRKL
P46199,1,MTIF2
P46379,1,BAG6
P46459,1,NSF
P46734,2,MAP2K3
P46776,2,RPL27A
P46777,1,RPL5
P46779,1,RPL28
P46781,2,RPS9
P46782,2,RPS5
P46783,2,RPS10
P46926,2,GNPDA1
P46939,1,UTRN
P46940,1,IQGAP1
P46976,2,GYG1
P46977,1,STT3A
P47755,2,CAPZA2
P47756,2,CAPZB
P47813,1,EIF1AX
P47897,1,QARS1
P47914,1,RPL29
P47985,2,UQCRFS1
P48047,2,ATP5PO
P48059,1,LIMS1
P48147,2,PREP
P48163,2,ME1
P48426,1,PIP4K2A
P48444,1,ARCN1
P48449,1,LSS
P48507,1,GCLM
P48509,1,CD151
P48556,2,PSMD8
P48637,1,GSS
P48643,2,CCT5
P48681,1,NES
P48735,2,IDH2
P48788,2,TNNI2
P49023,1,PXN
P49189,2,ALDH9A1
P49207,1,RPL34
P49257,1,LMAN1
P49354,1,FNTA
P49368,2,CCT3
P49406,1,MRPL19
P49411,2,TUFM
P49419,1,ALDH7A1
P49427,2,CDC34
P49585,1,PCYT1A
P49588,1,AARS1
P49589,1,CARS1
P49591,1,SARS1
P49720,2,PSMB3
P49721,2,PSMB2
P49748,2,ACADVL
P49753,2,ACOT2
P49755,1,TMED10
P49773,2,HINT1
P49821,2,NDUFV1
P49840,1,GSK3A
P49841,1,GSK3B
P50213,2,IDH3A
P50225,1,SULT1A1
P50395,2,GDI2
P50402,1,EMD
P50416,1,CPT1A
P50454,1,SERPINH1
P50461,2,CSRP3
P50502,2,ST13
P50570,1,DNM2
P50579,1,METAP2
P50583,1,NUDT2
P50851,1,LRBA
P50895,1,BCAM
P50914,1,RPL14
P50990,2,CCT8
P50991,2,CCT4
P50993,2,ATP1A2
P50995,2,ANXA11
P51114,1,FXR1
P51148,2,RAB5C
P51149,2,RAB7A
P51452,2,DUSP3
P51553,2,IDH3G
P51570,1,GALK1
P51571,1,SSR4
P51572,2,BCAP31
P51608,1,MECP2
P51636,1,CAV2
P51648,1,ALDH3A2
P51649,2,ALDH5A1
P51659,1,HSD17B4
P51665,1,PSMD7
P51668,2,UBE2D1
P51687,1,SUOX
P51692,1,STAT5B
P51812,1,RPS6KA3
P51858,2,HDGF
P51884,2,LUM
P51888,1,PRELP
P51970,2,NDUFA8
P51991,1,HNRNPA3
P52179,2,MYOM1
P52209,2,PGD
P52272,1,HNRNPM
P52294,2,KPNA1
P52564,2,MAP2K6
P52565,2,ARHGDIA
P52566,1,ARHGDIB
P52758,2,RIDA
P52815,1,MRPL12
P52888,1,THOP1
P52895,1,AKR1C2
P52907,2,CAPZA1
P52943,1,CRIP2
P53004,1,BLVRA
P53041,1,PPP5C
P53384,1,NUBP1
P53597,2,SUCLG1
P53621,1,COPA
P53701,1,HCCS
P53778,2,MAPK12
P53814,1,SMTN
P53985,2,SLC16A1
P53990,1,IST1
P53992,2,SEC24C
P53999,1,SUB1
P54136,1,RARS1
P54284,2,CACNB3
P54289,2,CACNA2D1
P54296,2,MYOM2
P54577,1,YARS1
P54578,2,USP14
P54619,2,PRKAG1
P54646,1,PRKAA2
P54652,2,HSPA2
P54725,2,RAD23A
P54727,2,RAD23B
P54819,2,AK2
P54920,2,NAPA
P55010,2,EIF5
P55036,2,PSMD4
P55039,1,DRG2
P55042,1,RRAD
P55060,2,CSE1L
P55072,2,VCP
P55084,2,HADHB
P55209,2,NAP1L1
P55263,1,ADK
P55268,1,LAMB2
P55290,2,CDH13
P55735,1,SEC13
P55769,1,SNU13
P55786,2,NPEPPS
P55795,1,HNRNPH2
P55809,1,OXCT1
P55822,2,SH3BGR
P55884,1,EIF3B
P56134,2,ATP5MF
P56181,2,NDUFV3
P56192,1,MARS1
P56211,1,ARPP19
P56381,2,ATP5F1E
P56385,2,ATP5ME
P56537,1,EIF6
P56556,2,NDUFA6
P57105,1,SYNJ2BP
P57772,1,EEFSEC
P58546,2,MTPN
P59666,2,DEFA3
P59998,1,ARPC4
P60033,1,CD81
P60174,2,TPI1
P60228,1,EIF3E
P60468,1,SEC61B
P60520,1,GABARAPL2
P60602,1,ROMO1
P60660,2,MYL6
P60709,2,ACTB
P60842,2,EIF4A1
P60866,2,RPS20
P60891,2,PRPS1
P60900,2,PSMA6
P60903,2,S100A10
P60953,2,CDC42
P60981,2,DSTN
P61019,2,RAB2A
P61020,1,RAB5B
P61026,2,RAB10
P61077,2,UBE2D3
P61081,2,UBE2M
P61086,1,UBE2K
P61088,2,UBE2N
P61106,1,RAB14
P61158,1,ACTR3
P61160,1,ACTR2
P61163,2,ACTR1A
P61201,2,COPS2
P61221,1,ABCE1
P61224,2,RAP1B
P61247,2,RPS3A
P61254,1,RPL26
P61313,2,RPL15
P61457,2,PCBD1
P61513,1,RPL37A
P61586,2,RHOA
P61604,2,HSPE1
P61619,1,SEC61A1
P61758,2,VBP1
P61769,2,B2M
P61803,1,DAD1
P61916,1,NPC2
P61925,2,PKIA
P61956,1,SUMO2
P61960,1,UFM1
P61970,2,NUTF2
P61978,2,HNRNPK
P61981,2,YWHAG
P62070,1,RRAS2
P62072,1,TIMM10
P62081,1,RPS7
P62136,2,PPP1CA
P62140,2,PPP1CB
P62191,2,PSMC1
P62195,1,PSMC5
P62241,1,RPS8
P62244,2,RPS15A
P62249,2,RPS16
P62253,1,UBE2G1
P62258,2,YWHAE
P62263,2,RPS14
P62266,1,RPS23
P62269,2,RPS18
P62277,2,RPS13
P62280,2,RPS11
P62316,1,SNRPD2
P62318,1,SNRPD3
P62328,1,TMSB4X
P62333,2,PSMC6
P62424,1,RPL7A
P62495,1,ETF1
P62633,2,CNBP
P62701,2,RPS4X
P62750,2,RPL23A
P62753,1,RPS6
P62807,2,H2BC4
P62820,1,RAB1A
P62826,2,RAN
P62829,2,RPL23
P62834,1,RAP1A
P62841,2,RPS15
P62847,1,RPS24
P62851,2,RPS25
P62854,1,RPS26
P62857,2,RPS28
P62873,2,GNB1
P62879,1,GNB2
P62888,1,RPL30
P62899,1,RPL31
P62906,2,RPL10A
P62910,1,RPL32
P62913,1,RPL11
P62917,2,RPL8
P62937,2,PPIA
P62942,2,FKBP1A
P62979,2,RPS27A
P62993,1,GRB2
P63000,2,RAC1
P63010,1,AP2B1
P63027,1,VAMP2
P63098,2,PPP3R1
P63104,2,YWHAZ
P63146,1,UBE2B
P63151,2,PPP2R2A
P63167,2,DYNLL1
P63172,2,DYNLT1
P63173,1,RPL38
P63208,2,SKP1
P63220,2,RPS21
P63241,2,EIF5A
P63244,2,RACK1
P63279,1,UBE2I
P63302,1,SELENOW
P63316,2,TNNC1
P67775,2,PPP2CA
P67809,2,YBX1
P67870,1,CSNK2B
P67936,1,TPM4
P68036,2,UBE2L3
P68104,2,EEF1A1
P68133,2,ACTA1
P68363,2,TUBA1B
P68366,2,TUBA4A
P68371,2,TUBB4B
P68400,1,CSNK2A1
P68402,1,PAFAH1B2
P68871,2,HBB
P69905,2,HBA1
P78344,1,EIF4G2
P78356,1,PIP4K2B
P78371,2,CCT2
P78417,2,GSTO1
P78527,1,PRKDC
P81605,2,DCD
P82663,1,MRPS25
P82675,1,MRPS5
P82909,2,MRPS36
P82914,1,MRPS15
P82921,1,MRPS21
P82979,1,SARNP
P83111,2,LACTB
P83731,1,RPL24
P84077,2,ARF1
P84085,1,ARF5
P84090,1,ERH
P84095,1,RHOG
P84098,2,RPL19
P84103,1,SRSF3
P84157,1,MXRA7
P84243,2,H3-3A
P98095,1,FBLN2
P98160,2,HSPG2
P98179,1,RBM3
P99999,2,CYCS
Q00013,1,MPP1
Q00059,2,TFAM
Q00169,1,PITPNA
Q00325,2,SLC25A3
Q00341,1,HDLBP
Q00577,1,PURA
Q00610,2,CLTC
Q00688,2,FKBP3
Q00765,2,REEP5
Q00796,1,SORD
Q00839,1,HNRNPU
Q00872,2,MYBPC1
Q00G26,1,PLIN5
Q01082,1,SPTBN1
Q01085,1,TIAL1
Q01105,1,SET
Q01432,2,AMPD3
Q01469,2,FABP5
Q01484,2,ANK2
Q01518,2,CAP1
Q01844,1,EWSR1
Q01995,2,TAGLN
Q02218,2,OGDH
Q02221,2,COX6A2
Q02252,1,ALDH6A1
Q02338,1,BDH1
Q02388,1,COL7A1
Q02543,1,RPL18A
Q02641,2,CACNB1
Q02750,2,MAP2K1
Q02790,1,FKBP4
Q02878,1,RPL6
Q02952,1,AKAP12
Q02978,2,SLC25A11
Q03135,2,CAV1
Q03154,1,ACY1
Q03252,1,LMNB2
Q04323,1,UBXN1
Q04446,2,GBE1
Q04637,1,EIF4G1
Q04759,1,PRKCQ
Q04760,2,GLO1
Q04828,2,AKR1C1
Q04837,2,SSBP1
Q04917,2,YWHAH
Q04941,1,PLP2
Q05086,1,UBE3A
Q05519,1,SRSF11
Q05639,2,EEF1A2
Q05682,1,CALD1
Q05707,2,COL14A1
Q06124,1,PTPN11
Q06323,2,PSME1
Q06432,1,CACNG1
