gene,pathway,database,module
NEDD8,Unmapped,NA,brown
GPD1,carbohydrate catabolic process,GO:BP,brown
PRKAR2A,Unmapped,NA,brown
BBS4,Unmapped,NA,brown
GMPR2,Unmapped,NA,brown
FKBP1A,Unmapped,NA,brown
USO1,Unmapped,NA,brown
SAR1B,Unmapped,NA,brown
CASQ1,Unmapped,NA,brown
PCMT1,Unmapped,NA,brown
ENO1,carbohydrate catabolic process,GO:BP,brown
TPT1,Unmapped,NA,brown
PLAA,Unmapped,NA,brown
NPEPPS,Unmapped,NA,brown
PSMD1,Unmapped,NA,brown
USP14,Unmapped,NA,brown
TMEM38A,Unmapped,NA,brown
EIF4A1,Unmapped,NA,brown
ADSL,Unmapped,NA,brown
RPN2,Unmapped,NA,brown
PFKL,carbohydrate catabolic process,GO:BP,brown
CFL1,Unmapped,NA,brown
PAFAH1B1,Unmapped,NA,brown
ASPSCR1,Unmapped,NA,brown
PRMT1,Unmapped,NA,brown
GAPDH,carbohydrate catabolic process,GO:BP,brown
PARK7,Unmapped,NA,brown
LAT,Unmapped,NA,brown
ALDOA,carbohydrate catabolic process,GO:BP,brown
ATP2B4,Unmapped,NA,brown
GNB2,Unmapped,NA,brown
TRMT112,Unmapped,NA,brown
ARF4,Unmapped,NA,brown
PSMB7,Unmapped,NA,brown
IMPDH2,Unmapped,NA,brown
CACNB1,Unmapped,NA,brown
PSMB1,Unmapped,NA,brown
NUDCD2,Unmapped,NA,brown
OLA1,Unmapped,NA,brown
UBA1,Unmapped,NA,brown
DAG1,Unmapped,NA,brown
PSMA5,Unmapped,NA,brown
PRPS1,Unmapped,NA,brown
PRDX4,Unmapped,NA,brown
PSMD2,Unmapped,NA,brown
RYR1,Unmapped,NA,brown
DUSP3,Unmapped,NA,brown
FBP1,carbohydrate catabolic process,GO:BP,brown
PSMA3,Unmapped,NA,brown
IMPA2,Unmapped,NA,brown
MAP3K20,Unmapped,NA,brown
PPP1CB,Unmapped,NA,brown
PGK1,carbohydrate catabolic process,GO:BP,brown
CMBL,Unmapped,NA,brown
PSMD6,Unmapped,NA,brown
GMPR,Unmapped,NA,brown
PGM1,carbohydrate catabolic process,GO:BP,brown
PSMA7,Unmapped,NA,brown
PRDX1,Unmapped,NA,brown
EIF4A2,Unmapped,NA,brown
PPP3R1,Unmapped,NA,brown
IDH1,Unmapped,NA,brown
AKR1B1,Unmapped,NA,brown
CD59,Unmapped,NA,brown
CACNA1S,Unmapped,NA,brown
PPIL1,Unmapped,NA,brown
UBL5,Unmapped,NA,brown
BABAM1,Unmapped,NA,brown
ARL8B,Unmapped,NA,brown
VCAN,Unmapped,NA,brown
DSTN,Unmapped,NA,brown
APEH,Unmapped,NA,brown
GPD2,carbohydrate catabolic process,GO:BP,brown
PTGES3,Unmapped,NA,brown
ARF1,Unmapped,NA,brown
TXNRD1,Unmapped,NA,brown
MAP2K1,Unmapped,NA,brown
XRCC5,Unmapped,NA,brown
GMPPB,Unmapped,NA,brown
SGCB,Unmapped,NA,brown
BROX,Unmapped,NA,brown
GPI,carbohydrate catabolic process,GO:BP,brown
PFDN6,Unmapped,NA,brown
GSTP1,Unmapped,NA,brown
WDR1,Unmapped,NA,brown
SLC44A2,Unmapped,NA,brown
PRPSAP1,Unmapped,NA,brown
CPPED1,Unmapped,NA,brown
PIN4,Unmapped,NA,brown
DENR,Unmapped,NA,brown
PRPSAP2,Unmapped,NA,brown
PHKA1,carbohydrate catabolic process,GO:BP,brown
APRT,Unmapped,NA,brown
PSMA1,Unmapped,NA,brown
LDHA,carbohydrate catabolic process,GO:BP,brown
AK1,Unmapped,NA,brown
COPS2,Unmapped,NA,brown
TSNAX,Unmapped,NA,brown
MAPK1,Unmapped,NA,brown
TFG,Unmapped,NA,brown
YARS1,Unmapped,NA,brown
CACNA2D1,Unmapped,NA,brown
RAB14,Unmapped,NA,brown
PSMD12,Unmapped,NA,brown
SLC25A6,Unmapped,NA,brown
SH3GLB1,Unmapped,NA,brown
SCRN2,Unmapped,NA,brown
EIF1,Unmapped,NA,brown
H6PD,Unmapped,NA,brown
DEPTOR,Unmapped,NA,brown
RDX,Unmapped,NA,brown
FBP2,Unmapped,NA,brown
SET,Unmapped,NA,brown
SMTNL1,Unmapped,NA,brown
PSMD3,Unmapped,NA,brown
CARS1,Unmapped,NA,brown
STUB1,Unmapped,NA,brown
CD38,Unmapped,NA,brown
UBE2L3,Unmapped,NA,brown
SYPL2,Unmapped,NA,brown
STAC3,Unmapped,NA,brown
CAPN1,Unmapped,NA,brown
CZIB,Unmapped,NA,brown
ENO3,carbohydrate catabolic process,GO:BP,brown
PANK4,Unmapped,NA,brown
TSN,Unmapped,NA,brown
CUL5,Unmapped,NA,brown
ADSS1,Unmapped,NA,brown
PPP1CA,carbohydrate catabolic process,GO:BP,brown
TSG101,Unmapped,NA,brown
DCAF8,Unmapped,NA,brown
PRKACA,carbohydrate catabolic process,GO:BP,brown
EMC1,Unmapped,NA,brown
MYLK2,Unmapped,NA,brown
CLCC1,Unmapped,NA,brown
MYLK,Unmapped,NA,brown
NIPSNAP3A,Unmapped,NA,brown
CA2,Unmapped,NA,brown
IPO7,Unmapped,NA,brown
OSBPL1A,Unmapped,NA,brown
AMPD1,Unmapped,NA,brown
LMAN1,Unmapped,NA,brown
BPNT1,Unmapped,NA,brown
FHL1,Unmapped,NA,brown
FKBP3,Unmapped,NA,brown
NT5C3A,Unmapped,NA,brown
CHMP2B,Unmapped,NA,brown
CPNE3,Unmapped,NA,brown
GNPDA1,Unmapped,NA,brown
TRIP10,Unmapped,NA,brown
GSTM3,Unmapped,NA,brown
STRAP,Unmapped,NA,brown
XPO1,Unmapped,NA,brown
EIF3E,Unmapped,NA,brown
BAG2,Unmapped,NA,brown
PEBP1,Unmapped,NA,brown
PAFAH1B3,Unmapped,NA,brown
DCTN3,Unmapped,NA,brown
C11orf68,Unmapped,NA,brown
GLO1,Unmapped,NA,brown
PKM,carbohydrate catabolic process,GO:BP,brown
IMPACT,Unmapped,NA,brown
MOCS2,Unmapped,NA,brown
ME1,Unmapped,NA,brown
TMED2,Unmapped,NA,brown
MICOS10,Unmapped,NA,brown
SUMO2,Unmapped,NA,brown
USP15,Unmapped,NA,brown
PRKCSH,Unmapped,NA,brown
CHMP4B,Unmapped,NA,brown
COPS8,Unmapped,NA,brown
CYB5B,Unmapped,NA,brown
CACNG1,Unmapped,NA,brown
HDGF,Unmapped,NA,brown
SGCG,Unmapped,NA,brown
SNX5,Unmapped,NA,brown
DDAH1,Unmapped,NA,brown
RAB12,Unmapped,NA,brown
STT3A,Unmapped,NA,brown
NPEPL1,Unmapped,NA,brown
SBDS,Unmapped,NA,brown
SHMT1,Unmapped,NA,brown
CAVIN1,Unmapped,NA,brown
COPS3,Unmapped,NA,brown
SH3BGR,Unmapped,NA,brown
STAT5B,Unmapped,NA,brown
BTF3,Unmapped,NA,brown
ST13,Unmapped,NA,brown
PIN1,Unmapped,NA,brown
COPS4,Unmapped,NA,brown
VPS26A,Unmapped,NA,brown
NOMO2,Unmapped,NA,brown
GCLM,Unmapped,NA,brown
AGL,carbohydrate catabolic process,GO:BP,brown
RCSD1,Unmapped,NA,brown
SCARB2,carbohydrate catabolic process,GO:BP,brown
PHKB,Unmapped,NA,brown
SGCA,Unmapped,NA,brown
KARS1,Unmapped,NA,brown
NUTF2,Unmapped,NA,brown
LGALS1,Unmapped,NA,brown
ACP1,Unmapped,NA,brown
JAGN1,Unmapped,NA,brown
ALDOC,carbohydrate catabolic process,GO:BP,brown
GNB1,Unmapped,NA,brown
VBP1,Unmapped,NA,brown
ATP2A2,Unmapped,NA,brown
MLEC,Unmapped,NA,brown
SOD1,Unmapped,NA,brown
PSMD9,Unmapped,NA,brown
TPD52L2,Unmapped,NA,brown
TXN,Unmapped,NA,brown
COPS7B,Unmapped,NA,brown
ANXA7,Unmapped,NA,brown
STX4,Unmapped,NA,brown
ADH5,Unmapped,NA,brown
DYNLRB1,Unmapped,NA,brown
TPP2,Unmapped,NA,brown
SQSTM1,Unmapped,NA,brown
SGCD,Unmapped,NA,brown
MIEN1,Unmapped,NA,brown
SAR1A,Unmapped,NA,brown
RAB5B,Unmapped,NA,brown
CPNE1,Unmapped,NA,brown
GSTZ1,Unmapped,NA,brown
LPCAT3,Unmapped,NA,brown
IMPA1,Unmapped,NA,brown
ETFB,organic acid catabolic process,GO:BP,turquoise
IDH2,oxoacid metabolic process,GO:BP,turquoise
ALDH5A1,organic acid catabolic process,GO:BP,turquoise
ETFA,organic acid catabolic process,GO:BP,turquoise
CRAT,organic acid catabolic process,GO:BP,turquoise
TST,organic acid catabolic process,GO:BP,turquoise
ACO2,oxoacid metabolic process,GO:BP,turquoise
HMGCL,organic acid catabolic process,GO:BP,turquoise
GOT2,organic acid catabolic process,GO:BP,turquoise
FH,oxoacid metabolic process,GO:BP,turquoise
PPIF,Unmapped,NA,turquoise
MLYCD,organic acid catabolic process,GO:BP,turquoise
FXN,Unmapped,NA,turquoise
ACAA2,organic acid catabolic process,GO:BP,turquoise
COQ8A,Unmapped,NA,turquoise
PDP1,Unmapped,NA,turquoise
MSRB2,Unmapped,NA,turquoise
HADHB,organic acid catabolic process,GO:BP,turquoise
IARS2,Unmapped,NA,turquoise
SUCLA2,oxoacid metabolic process,GO:BP,turquoise
ACADVL,organic acid catabolic process,GO:BP,turquoise
COQ5,Unmapped,NA,turquoise
COQ7,Unmapped,NA,turquoise
PCCB,organic acid catabolic process,GO:BP,turquoise
CS,oxoacid metabolic process,GO:BP,turquoise
ACAT1,organic acid catabolic process,GO:BP,turquoise
TACO1,Unmapped,NA,turquoise
ACSL1,oxoacid metabolic process,GO:BP,turquoise
MCCC1,organic acid catabolic process,GO:BP,turquoise
AFG3L2,Unmapped,NA,turquoise
ECHS1,organic acid catabolic process,GO:BP,turquoise
SUCLG1,Unmapped,NA,turquoise
ECH1,organic acid catabolic process,GO:BP,turquoise
LONP1,Unmapped,NA,turquoise
CBR4,oxoacid metabolic process,GO:BP,turquoise
HSDL2,Unmapped,NA,turquoise
HSPD1,Unmapped,NA,turquoise
CKMT2,Unmapped,NA,turquoise
MECR,oxoacid metabolic process,GO:BP,turquoise
TIMM44,Unmapped,NA,turquoise
HADH,organic acid catabolic process,GO:BP,turquoise
LETM1,Unmapped,NA,turquoise
ECI1,organic acid catabolic process,GO:BP,turquoise
MAOA,Unmapped,NA,turquoise
TIMM50,Unmapped,NA,turquoise
ACAD8,organic acid catabolic process,GO:BP,turquoise
IBA57,Unmapped,NA,turquoise
TIMM9,Unmapped,NA,turquoise
ACSF2,oxoacid metabolic process,GO:BP,turquoise
ACADM,organic acid catabolic process,GO:BP,turquoise
MAOB,Unmapped,NA,turquoise
OPLAH,Unmapped,NA,turquoise
CPT2,organic acid catabolic process,GO:BP,turquoise
TRMT10C,Unmapped,NA,turquoise
AKR7A2,Unmapped,NA,turquoise
ATP5IF1,Unmapped,NA,turquoise
COQ3,Unmapped,NA,turquoise
HIBADH,organic acid catabolic process,GO:BP,turquoise
PCCA,organic acid catabolic process,GO:BP,turquoise
SFXN1,Unmapped,NA,turquoise
SUOX,Unmapped,NA,turquoise
HADHA,organic acid catabolic process,GO:BP,turquoise
TTC3,Unmapped,NA,turquoise
MCEE,organic acid catabolic process,GO:BP,turquoise
ABHD11,Unmapped,NA,turquoise
NNT,Unmapped,NA,turquoise
SLC25A20,Unmapped,NA,turquoise
GSTK1,Unmapped,NA,turquoise
SDHB,Unmapped,NA,turquoise
FAHD1,oxoacid metabolic process,GO:BP,turquoise
DECR1,organic acid catabolic process,GO:BP,turquoise
ATPAF2,Unmapped,NA,turquoise
ECI2,organic acid catabolic process,GO:BP,turquoise
CPT1B,organic acid catabolic process,GO:BP,turquoise
NDUFAF2,Unmapped,NA,turquoise
SIRT3,Unmapped,NA,turquoise
CISD1,Unmapped,NA,turquoise
SDR39U1,Unmapped,NA,turquoise
DCXR,organic acid catabolic process,GO:BP,turquoise
ACOT9,Unmapped,NA,turquoise
IDI1,Unmapped,NA,turquoise
SIRT5,Unmapped,NA,turquoise
CTSZ,Unmapped,NA,turquoise
COA3,Unmapped,NA,turquoise
SDHA,oxoacid metabolic process,GO:BP,turquoise
GPT,organic acid catabolic process,GO:BP,turquoise
VWA8,Unmapped,NA,turquoise
L2HGDH,oxoacid metabolic process,GO:BP,turquoise
IVD,organic acid catabolic process,GO:BP,turquoise
GPT2,organic acid catabolic process,GO:BP,turquoise
HCCS,Unmapped,NA,turquoise
ISCA2,Unmapped,NA,turquoise
GPD1L,Unmapped,NA,turquoise
MRPL40,Unmapped,NA,turquoise
PPTC7,Unmapped,NA,turquoise
PLIN2,Unmapped,NA,turquoise
NADK2,Unmapped,NA,turquoise
HSD17B8,oxoacid metabolic process,GO:BP,turquoise
ASAH1,oxoacid metabolic process,GO:BP,turquoise
ALDH4A1,organic acid catabolic process,GO:BP,turquoise
TFAM,Unmapped,NA,turquoise
CTSB,Unmapped,NA,turquoise
TRAP1,Unmapped,NA,turquoise
SOD2,Unmapped,NA,turquoise
NFS1,Unmapped,NA,turquoise
FN3K,oxoacid metabolic process,GO:BP,turquoise
ACSS2,oxoacid metabolic process,GO:BP,turquoise
HMGB2,Unmapped,NA,turquoise
PDLIM1,Unmapped,NA,turquoise
PLS3,Unmapped,NA,turquoise
FAHD2A,oxoacid metabolic process,GO:BP,turquoise
CDC37,Unmapped,NA,turquoise
OCIAD1,Unmapped,NA,turquoise
ALDH6A1,organic acid catabolic process,GO:BP,turquoise
COQ10A,Unmapped,NA,turquoise
MDH2,oxoacid metabolic process,GO:BP,turquoise
MDH1,oxoacid metabolic process,GO:BP,turquoise
EPDR1,Unmapped,NA,turquoise
GOT1,organic acid catabolic process,GO:BP,turquoise
BCAT2,organic acid catabolic process,GO:BP,turquoise
MICU1,Unmapped,NA,turquoise
ETFDH,organic acid catabolic process,GO:BP,turquoise
COQ9,Unmapped,NA,turquoise
TIMM10,Unmapped,NA,turquoise
ACADSB,organic acid catabolic process,GO:BP,turquoise
ARHGDIB,Unmapped,NA,turquoise
ECHDC2,organic acid catabolic process,GO:BP,turquoise
AK2,Unmapped,NA,turquoise
MMUT,oxoacid metabolic process,GO:BP,turquoise
COX11,Unmapped,NA,turquoise
ADHFE1,organic acid catabolic process,GO:BP,turquoise
NAXD,Unmapped,NA,turquoise
FAM185A,Unmapped,NA,turquoise
HDHD5,Unmapped,NA,turquoise
GCDH,organic acid catabolic process,GO:BP,turquoise
THAP4,oxoacid metabolic process,GO:BP,turquoise
GLRX5,Unmapped,NA,turquoise
MAP2K6,Unmapped,NA,turquoise
CHCHD7,Unmapped,NA,turquoise
SARS2,Unmapped,NA,turquoise
CYB5R1,Unmapped,NA,turquoise
OPA1,Unmapped,NA,turquoise
MRPS36,Unmapped,NA,turquoise
AUH,organic acid catabolic process,GO:BP,turquoise
CHDH,Unmapped,NA,turquoise
MCCC2,organic acid catabolic process,GO:BP,turquoise
DNM1L,Unmapped,NA,turquoise
NFU1,Unmapped,NA,turquoise
FABP3,oxoacid metabolic process,GO:BP,turquoise
MRPL12,Unmapped,NA,turquoise
CHCHD4,Unmapped,NA,turquoise
MRPL19,Unmapped,NA,turquoise
DIABLO,Unmapped,NA,turquoise
SUCLG2,oxoacid metabolic process,GO:BP,turquoise
HIBCH,organic acid catabolic process,GO:BP,turquoise
FABP4,Unmapped,NA,turquoise
PLIN4,Unmapped,NA,turquoise
GAA,Unmapped,NA,turquoise
SUGT1,Unmapped,NA,turquoise
DLST,organic acid catabolic process,GO:BP,turquoise
ACADS,organic acid catabolic process,GO:BP,turquoise
ECHDC3,oxoacid metabolic process,GO:BP,turquoise
HEBP1,Unmapped,NA,turquoise
LSS,Unmapped,NA,turquoise
PNPO,Unmapped,NA,turquoise
PLIN5,organic acid catabolic process,GO:BP,turquoise
HLA-B,Unmapped,NA,turquoise
TIMM13,Unmapped,NA,turquoise
ACOT2,oxoacid metabolic process,GO:BP,turquoise
ISOC2,Unmapped,NA,turquoise
BDH1,Unmapped,NA,turquoise
SF3B2,Unmapped,NA,turquoise
