uniprot_id,cluster,gene
P54136,2,RARS1
P54284,2,CACNB3
P54289,2,CACNA2D1
P54296,1,MYOM2
P54578,2,USP14
P54619,2,PRKAG1
P54646,2,PRKAA2
P54652,1,HSPA2
P54725,2,RAD23A
P54727,2,RAD23B
P54819,2,AK2
P54920,2,NAPA
P55010,2,EIF5
P55036,2,PSMD4
P55060,2,CSE1L
P55072,2,VCP
P55084,1,HADHB
P55290,2,CDH13
P55786,1,NPEPPS
P55822,1,SH3BGR
P55884,2,EIF3B
P56134,1,ATP5MF
P56181,2,NDUFV3
P56381,1,ATP5F1E
P56385,1,ATP5ME
P56556,2,NDUFA6
P57105,2,SYNJ2BP
P58546,2,MTPN
P59666,2,DEFA3
P60174,1,TPI1
P60602,2,ROMO1
P60660,1,MYL6
P60709,1,ACTB
P60842,2,EIF4A1
P60866,2,RPS20
P60891,2,PRPS1
P60900,2,PSMA6
P60903,2,S100A10
P61019,2,RAB2A
P61026,2,RAB10
P61077,2,UBE2D3
P61081,2,UBE2M
P61088,1,UBE2N
P61158,2,ACTR3
P61160,2,ACTR2
P61163,2,ACTR1A
P61201,2,COPS2
P61221,2,ABCE1
P61224,2,RAP1B
P61247,2,RPS3A
P61254,2,RPL26
P61457,2,PCBD1
P61586,2,RHOA
P61604,1,HSPE1
P61758,2,VBP1
P61925,2,PKIA
P61970,1,NUTF2
P61978,2,HNRNPK
P61981,1,YWHAG
P62072,2,TIMM10
P62136,2,PPP1CA
P62140,2,PPP1CB
P62191,2,PSMC1
P62195,2,PSMC5
P62241,2,RPS8
P62249,2,RPS16
P62258,1,YWHAE
P62263,2,RPS14
P62269,2,RPS18
P62277,2,RPS13
P62333,2,PSMC6
P62633,2,CNBP
P62701,2,RPS4X
P62750,2,RPL23A
P62807,1,H2BC4
P62826,1,RAN
P62841,2,RPS15
P62851,2,RPS25
P62854,2,RPS26
P62857,2,RPS28
P62873,2,GNB1
P62879,2,GNB2
P62888,2,RPL30
P62899,2,RPL31
P62906,2,RPL10A
P62937,1,PPIA
P62942,2,FKBP1A
P62979,1,RPS27A
P62993,2,GRB2
P63000,2,RAC1
P63104,2,YWHAZ
P63151,2,PPP2R2A
P63208,2,SKP1
P63220,2,RPS21
P63241,1,EIF5A
P63244,2,RACK1
P63316,1,TNNC1
P67775,2,PPP2CA
P67809,2,YBX1
P68036,2,UBE2L3
P68104,1,EEF1A1
P68133,1,ACTA1
P68363,1,TUBA1B
P68366,1,TUBA4A
P68371,1,TUBB4B
P68400,2,CSNK2A1
P68871,1,HBB
P69905,1,HBA1
P78371,1,CCT2
P78417,1,GSTO1
P81605,2,DCD
P83111,2,LACTB
P84098,2,RPL19
P84243,1,H3-3A
P98160,2,HSPG2
P99999,1,CYCS
Q00325,1,SLC25A3
Q00610,2,CLTC
Q00688,1,FKBP3
Q00765,1,REEP5
Q00839,2,HNRNPU
Q00872,1,MYBPC1
Q01082,2,SPTBN1
Q01469,2,FABP5
Q02218,1,OGDH
Q02641,2,CACNB1
Q02750,2,MAP2K1
Q02790,2,FKBP4
Q02878,2,RPL6
Q02978,1,SLC25A11
Q03135,2,CAV1
Q03154,2,ACY1
Q04446,2,GBE1
Q04637,2,EIF4G1
Q04760,1,GLO1
Q04837,2,SSBP1
Q04917,2,YWHAH
Q05639,1,EEF1A2
Q06323,2,PSME1
Q06730,2,ZNF33A
Q06830,1,PRDX1
Q07021,2,C1QBP
Q08209,2,PPP3CA
Q08257,2,CRYZ
Q09666,1,AHNAK
Q12904,2,AIMP1
Q12931,2,TRAP1
Q12988,2,HSPB3
Q13011,1,ECH1
Q13085,1,ACACA
Q13098,2,GPS1
Q13131,2,PRKAA1
Q13155,2,AIMP2
Q13177,2,PAK2
Q13200,2,PSMD2
Q13228,1,SELENBP1
Q13326,2,SGCG
Q13404,2,UBE2V1
Q13409,2,DYNC1I2
Q13418,2,ILK
Q13423,1,NNT
Q13424,2,SNTA1
Q13425,2,SNTB2
Q13442,2,PDAP1
Q13554,2,CAMK2B
Q13557,1,CAMK2D
Q13561,2,DCTN2
Q13618,2,CUL3
Q13619,2,CUL4A
Q13642,1,FHL1
Q13643,1,FHL3
Q13683,2,ITGA7
Q13698,2,CACNA1S
Q13825,2,AUH
Q13885,2,TUBB2A
Q14061,2,COX17
Q14103,2,HNRNPD
Q14118,2,DAG1
Q14152,2,EIF3A
Q14165,2,MLEC
Q14195,2,DPYSL3
Q14203,2,DCTN1
Q14204,2,DYNC1H1
Q14240,1,EIF4A2
Q14249,2,ENDOG
Q14315,1,FLNC
Q14324,2,MYBPC2
Q14353,2,GAMT
Q14697,2,GANAB
Q14714,2,SSPN
Q14974,2,KPNB1
Q14BN4,2,SLMAP
Q15008,2,PSMD6
Q15046,2,KARS1
Q15056,2,EIF4H
Q15084,1,PDIA6
Q15124,2,PGM5
Q15149,1,PLEC
Q15181,2,PPA1
Q15185,2,PTGES3
Q15365,1,PCBP1
Q15366,2,PCBP2
Q15369,2,ELOC
Q15370,2,ELOB
Q15435,2,PPP1R7
Q15555,2,MAPRE2
Q15819,2,UBE2V2
Q15843,2,NEDD8
Q15907,2,RAB11B
Q15942,2,ZYX
Q16082,1,HSPB2
Q16134,1,ETFDH
Q16531,1,DDB1
Q16555,2,DPYSL2
Q16563,2,SYPL1
Q16585,2,SGCB
Q16586,2,SGCA
Q16698,1,DECR1
Q16718,1,NDUFA5
Q16762,2,TST
Q16775,1,HAGH
Q16795,1,NDUFA9
Q16816,2,PHKG1
Q16821,2,PPP1R3A
Q16836,1,HADH
Q16851,1,UGP2
Q16881,2,TXNRD1
Q16891,1,IMMT
Q2TBA0,2,KLHL40
Q53GG5,1,PDLIM3
Q58WW2,2,DCAF6
Q5BKX8,2,CAVIN4
Q5JTJ3,2,COA6
Q5JWF2,2,GNAS
Q5TDH0,1,DDI2
Q5VST9,2,OBSCN
Q5VTT5,2,MYOM3
Q5VXT5,1,SYPL2
Q5VYK3,2,ECPAS
Q66K66,1,TMEM198
Q6IAN0,2,DHRS7B
Q6JBY9,2,RCSD1
Q6NVY1,1,HIBCH
Q6NZI2,1,CAVIN1
Q6UW68,2,TMEM205
Q6UXV4,2,APOOL
Q6YN16,1,HSDL2
Q6ZMU5,1,TRIM72
Q6ZU65,1,UBN2
Q702N8,2,XIRP1
Q7L5N1,2,COPS6
Q7Z434,2,MAVS
Q7Z4W1,2,DCXR
Q7Z698,2,SPRED2
Q7Z6Z7,2,HUWE1
Q86TD4,1,SRL
Q86VF7,2,NRAP
Q86VP6,2,CAND1
Q86Y39,2,NDUFA11
Q8IVN3,2,MUSTN1
Q8IW45,2,NAXD
Q8IWX7,2,UNC45B
Q8N142,1,ADSS1
Q8N1G4,2,LRRC47
Q8N335,1,GPD1L
Q8N3K9,1,CMYA5
Q8N3L3,2,TXLNB
Q8N8N7,2,PTGR2
Q8NB12,2,SMYD1
Q8NBU5,2,ATAD1
Q8NBX0,2,SCCPDH
Q8NC51,2,SERBP1
Q8NCW5,2,NAXE
Q8NDH3,2,NPEPL1
Q8NDY3,1,ADPRHL1
Q8NI60,1,COQ8A
Q8TCA0,1,LRRC20
Q8TDX7,2,NEK7
Q8WTS6,2,SETD7
Q8WUM4,2,PDCD6IP
Q8WZ42,1,TTN
Q92499,2,DDX1
Q92523,2,CPT1B
Q92629,2,SGCD
Q92905,2,COPS5
Q93034,2,CUL5
Q93084,1,ATP2A3
Q93100,2,PHKB
Q969Q0,2,RPL36AL
Q96A26,2,FAM162A
Q96AB3,2,ISOC2
Q96AQ6,1,PBXIP1
Q96C23,2,GALM
Q96CM8,2,ACSF2
Q96DB5,2,RMDN1
Q96DG6,1,CMBL
Q96HC4,1,PDLIM5
Q96I99,2,SUCLG2
Q96IU4,2,ABHD14B
Q96KP4,2,CNDP2
Q96MF6,2,COQ10A
Q96MG2,1,JSRP1
Q96Q06,1,PLIN4
Q96RK4,2,BBS4
Q99426,2,TBCB
Q99436,2,PSMB7
Q99460,2,PSMD1
Q99497,1,PARK7
Q99536,2,VAT1
Q99584,2,S100A13
Q99613,1,EIF3C
Q99623,1,PHB2
Q99714,2,HSD17B10
Q99733,2,NAP1L4
Q99798,1,ACO2
Q99807,2,COQ7
Q99832,2,CCT7
Q99873,2,PRMT1
Q9BPW8,2,NIPSNAP1
Q9BQ69,1,MACROD1
Q9BR39,2,JPH2
Q9BRA2,2,TXNDC17
Q9BRX8,2,PRXL2A
Q9BSJ8,2,ESYT1
Q9BSL1,2,UBAC1
Q9BT78,2,COPS4
Q9BTV4,2,TMEM43
Q9BUR5,2,APOO
Q9BV79,2,MECR
Q9BVC6,2,TMEM109
Q9BWH2,1,FUNDC2
Q9BX68,2,HINT2
Q9BXI3,2,NT5C1A
Q9BXK5,2,BCL2L13
Q9GZT8,2,NIF3L1
Q9GZV1,1,ANKRD2
Q9H0E2,2,TOLLIP
Q9H0N5,2,PCBD2
Q9H0P0,2,NT5C3A
Q9H0U4,1,RAB1B
Q9H0W9,2,C11orf54
Q9H1E3,2,NUCKS1
Q9H1R3,2,MYLK2
Q9H2I8,1,LRMDA
Q9H2U2,2,PPA2
Q9H3K2,2,GHITM
Q9H444,2,CHMP4B
Q9H479,2,FN3K
Q9H4A4,2,RNPEP
Q9H4M9,2,EHD1
Q9H6F2,2,TMEM38A
Q9H7C9,1,AAMDC
Q9H7Z7,2,PTGES2
Q9H8H3,2,METTL7A
Q9H9P8,2,L2HGDH
Q9HC38,2,GLOD4
Q9HCP6,2,HHATL
Q9HDC5,2,JPH1
Q9NP98,2,MYOZ1
Q9NPJ3,2,ACOT13
Q9NQC3,1,RTN4
Q9NQR4,2,NIT2
Q9NQW7,2,XPNPEP1
Q9NR12,2,PDLIM7
Q9NR31,1,SAR1A
Q9NRX4,1,PHPT1
Q9NS69,2,TOMM22
Q9NSD9,2,FARSB
Q9NSE4,2,IARS2
Q9NTK5,2,OLA1
Q9NTM9,2,CUTC
Q9NUU7,2,DDX19A
Q9NVE7,2,PANK4
Q9NVJ2,2,ARL8B
Q9NWV4,2,CZIB
Q9NX14,2,NDUFB11
Q9NX63,2,CHCHD3
Q9NXA8,2,SIRT5
Q9NY33,2,DPP3
Q9NY65,2,TUBA8
Q9NZ45,1,CISD1
Q9NZA1,2,CLIC5
Q9NZJ6,2,COQ3
Q9NZM1,2,MYOF
Q9NZN4,2,EHD2
Q9NZU5,1,LMCD1
Q9P0J0,1,NDUFA13
Q9P0L0,2,VAPA
Q9P2R7,1,SUCLA2
Q9P2T1,2,GMPR2
Q9UBF6,2,RNF7
Q9UBF9,1,MYOT
Q9UBI6,2,GNG12
Q9UBQ5,2,EIF3K
Q9UBQ7,2,GRHPR
Q9UBY9,1,HSPB7
Q9UDW1,1,UQCR10
Q9UHG3,2,PCYOX1
Q9UHP9,1,SMPX
Q9UHQ9,1,CYB5R1
Q9UI09,2,NDUFA12
Q9UII2,1,ATP5IF1
Q9UIJ7,1,AK3
Q9UJS0,1,SLC25A13
Q9UJZ1,2,STOML2
Q9UKS6,2,PACSIN3
Q9UKX2,1,MYH2
Q9ULA0,2,DNPEP
Q9ULC4,2,MCTS1
Q9UM00,2,TMCO1
Q9UM54,1,MYO6
Q9UMS6,2,SYNPO2
Q9UN36,1,NDRG2
Q9UNE7,2,STUB1
Q9UNM6,2,PSMD13
Q9UNS2,2,COPS3
Q9UNZ2,2,NSFL1C
Q9UQ80,2,PA2G4
Q9Y235,1,APOBEC2
Q9Y263,2,PLAA
Q9Y266,2,NUDC
Q9Y277,1,VDAC3
Q9Y281,1,CFL2
Q9Y2J8,1,PADI2
Q9Y2Q3,2,GSTK1
Q9Y2S6,2,TMA7
Q9Y2Z9,2,COQ6
Q9Y305,2,ACOT9
Q9Y316,2,MEMO1
Q9Y376,2,CAB39
Q9Y394,1,DHRS7
Q9Y3A5,2,SBDS
Q9Y3D6,2,FIS1
Q9Y3F4,2,STRAP
Q9Y3I0,2,RTCB
Q9Y3U8,2,RPL36
Q9Y490,2,TLN1
Q9Y4J8,2,DTNA
Q9Y4W6,2,AFG3L2
Q9Y512,1,SAMM50
Q9Y5L4,2,TIMM13
Q9Y5Z4,1,HEBP2
Q9Y5Z7,2,HCFC2
Q9Y613,2,FHOD1
Q9Y6B6,2,SAR1B
Q9Y6C9,2,MTCH2
Q9Y6E2,2,BZW2
Q9Y6H1,2,CHCHD2
Q9Y6M9,2,NDUFB9
