gene,cluster_id,cluster_label
ACAT1,77,CITRIC ACID CYCLE TCA CYCLE
IDH2,77,CITRIC ACID CYCLE TCA CYCLE
C3,78,CLASS A 1 RHODOPSIN LIKE RECEPTORS
PSAP,78,CLASS A 1 RHODOPSIN LIKE RECEPTORS
RPS27A,80,DEACTIVATION OF THE BETA CATENIN TRANSACTIVATING C
YWHAZ,80,DEACTIVATION OF THE BETA CATENIN TRANSACTIVATING C
CAST,81,DEFECTIVE INTRINSIC PATHWAY FOR APOPTOSIS
SOD2,81,DEFECTIVE INTRINSIC PATHWAY FOR APOPTOSIS
MPST,82,DEGRADATION OF CYSTEINE AND HOMOCYSTEINE
SUOX,82,DEGRADATION OF CYSTEINE AND HOMOCYSTEINE
TST,82,DEGRADATION OF CYSTEINE AND HOMOCYSTEINE
MARCHF5,155,DISORDERS OF MITOCHONDRIAL HOMEOSTATIS DYNAMICS PR
MICU1,155,DISORDERS OF MITOCHONDRIAL HOMEOSTATIS DYNAMICS PR
HMGB1,3,DNAFRAGMENT PATHWAY
HMGB2,3,DNAFRAGMENT PATHWAY
PLIN2,86,EPIGENETIC REGULATION BY WDR5 CONTAINING HISTONE M
PLIN4,86,EPIGENETIC REGULATION BY WDR5 CONTAINING HISTONE M
IDI1,157,EXERCISEINDUCED CIRCADIAN REGULATION
STBD1,157,EXERCISEINDUCED CIRCADIAN REGULATION
ACADM,159,FEMALE STEROID HORMONES IN CARDIOMYOCYTE ENERGY ME
HADHB,159,FEMALE STEROID HORMONES IN CARDIOMYOCYTE ENERGY ME
ARHGDIB,163,G13 SIGNALING
MYBPH,163,G13 SIGNALING
MYL1,163,G13 SIGNALING
GAA,18,GALACTOSE METABOLISM
GALK1,18,GALACTOSE METABOLISM
RPL27A,90,GAMMA CARBOXYLATION HYPUSINYLATION HYDROXYLATION A
RPS23,90,GAMMA CARBOXYLATION HYPUSINYLATION HYDROXYLATION A
GPD1L,19,GLYCEROPHOSPHOLIPID BIOSYNTHESIS
HADHA,19,GLYCEROPHOSPHOLIPID BIOSYNTHESIS
PCYT2,19,GLYCEROPHOSPHOLIPID BIOSYNTHESIS
IBA57,165,GLYCINE METABOLISM INCLUDING IMDS
PNPO,165,GLYCINE METABOLISM INCLUDING IMDS
CLEC3B,95,HEMOSTASIS
TMX3,95,HEMOSTASIS
ABHD16A,168,IL18 SIGNALING
ACADS,168,IL18 SIGNALING
TGM2,168,IL18 SIGNALING
BANF1,96,INITIATION OF NUCLEAR ENVELOPE NE REFORMATION
TMPO,96,INITIATION OF NUCLEAR ENVELOPE NE REFORMATION
PPP1R3A,23,INSULIN SIGNALING PATHWAY
THRB,23,INSULIN SIGNALING PATHWAY
ACTN2,4,INTEGRIN PATHWAY
ACTN3,4,INTEGRIN PATHWAY
HPRT1,170,MESODERMAL COMMITMENT PATHWAY
RPL38,170,MESODERMAL COMMITMENT PATHWAY
COQ5,103,METABOLISM OF COFACTORS
COQ7,103,METABOLISM OF COFACTORS
ETFA,103,METABOLISM OF COFACTORS
FNDC3A,172,MIRTARGETED GENES IN LYMPHOCYTES
NARS1,172,MIRTARGETED GENES IN LYMPHOCYTES
NXN,172,MIRTARGETED GENES IN LYMPHOCYTES
MT-CO1,107,MITOCHONDRIAL PROTEIN DEGRADATION
MT-ND2,107,MITOCHONDRIAL PROTEIN DEGRADATION
CELF1,173,MRNA PROCESSING
SNRPD3,173,MRNA PROCESSING
MYBPC2,109,MUSCLE CONTRACTION
MYOM1,109,MUSCLE CONTRACTION
NEB,109,MUSCLE CONTRACTION
TMOD4,109,MUSCLE CONTRACTION
TNNI2,109,MUSCLE CONTRACTION
TNNT3,109,MUSCLE CONTRACTION
CDC42,111,MYOGENESIS
SPAG9,111,MYOGENESIS
ALDH5A1,113,NEUROTRANSMITTER RELEASE CYCLE
MAOA,113,NEUROTRANSMITTER RELEASE CYCLE
ABHD11,137,Other
ABHD6,89,Other
ACTN4,174,Other
ADH1B,115,Other
ALDH4A1,136,Other
ALDH6A1,27,Other
ANXA3,84,Other
ARHGAP1,47,Other
BZW1,0,Other
CA3,0,Other
CAP1,171,Other
CAPRIN1,0,Other
CLIC4,0,Other
CLU,79,Other
COL15A1,45,Other
COPS7B,71,Other
CP,38,Other
CPT2,187,Other
CRAT,37,Other
CRYBG3,0,Other
CTSB,138,Other
CTSD,87,Other
CTSZ,102,Other
DCTN3,120,Other
DCXR,92,Other
DDI2,0,Other
DHRS7B,16,Other
DPYSL2,9,Other
DYNLT1,55,Other
ECHS1,189,Other
ENO2,21,Other
EPDR1,0,Other
FBN1,130,Other
FLNA,93,Other
FLNB,64,Other
FLNC,134,Other
FLT1,15,Other
FSD2,0,Other
FXN,52,Other
GCLM,160,Other
GSTM1,142,Other
GSTO1,146,Other
HMGCL,33,Other
HMOX1,94,Other
IGHG2,88,Other
JPT2,0,Other
KLHL40,0,Other
LAMTOR1,179,Other
LMOD2,0,Other
LONP1,108,Other
LRBA,0,Other
LRG1,175,Other
LRMDA,0,Other
LRPAP1,62,Other
MAPK13,181,Other
MAVS,128,Other
MDP1,0,Other
MRPS36,0,Other
MUSTN1,0,Other
MYH2,43,Other
MYOF,60,Other
MYOM2,0,Other
MYOM3,0,Other
MYOZ1,0,Other
NAXD,114,Other
NGLY1,112,Other
NRAP,0,Other
PDLIM1,0,Other
PDLIM5,63,Other
PGM5,0,Other
PHPT1,0,Other
PLIN5,0,Other
PPIA,98,Other
PRDX6,20,Other
PSMD14,105,Other
PSMD7,150,Other
PVALB,22,Other
RBM3,0,Other
RNF114,25,Other
RPS19,153,Other
S100A13,0,Other
SCO1,154,Other
SCRN3,0,Other
SNTA1,56,Other
SPEG,0,Other
SQSTM1,148,Other
SYNE2,156,Other
SYNM,0,Other
SYNPO2,0,Other
SYNPO2L,0,Other
TES,0,Other
TLN2,31,Other
TMEM38A,0,Other
TMX2,0,Other
TPM4,126,Other
TPSB2,0,Other
TRIM54,0,Other
TYMP,14,Other
UBE2K,117,Other
VAPB,132,Other
VWA8,0,Other
XIRP1,0,Other
NAE1,116,POST TRANSLATIONAL PROTEIN MODIFICATION
OTUB1,116,POST TRANSLATIONAL PROTEIN MODIFICATION
NT5C1A,40,PURINE METABOLISM
PRUNE1,40,PURINE METABOLISM
CSRP1,121,RESPONSE TO METAL IONS
MT2A,121,RESPONSE TO METAL IONS
ACTN1,124,RHOBTB GTPASE CYCLE
VIM,124,RHOBTB GTPASE CYCLE
RPS7,127,RRNA MODIFICATION IN THE NUCLEUS AND CYTOSOL
UTP15,127,RRNA MODIFICATION IN THE NUCLEUS AND CYTOSOL
EEFSEC,183,SELENIUM METABOLISM AND SELENOPROTEINS
GPX3,183,SELENIUM METABOLISM AND SELENOPROTEINS
SELENBP1,183,SELENIUM METABOLISM AND SELENOPROTEINS
CAPZA1,129,SENSORY PERCEPTION
MSN,129,SENSORY PERCEPTION
SLC25A11,131,SLC MEDIATED TRANSMEMBRANE TRANSPORT
SLC27A1,131,SLC MEDIATED TRANSMEMBRANE TRANSPORT
EMC2,184,SLC25A46 PATHWAY
EMC3,184,SLC25A46 PATHWAY
MICOS10,184,SLC25A46 PATHWAY
SLC25A46,184,SLC25A46 PATHWAY
TPM1,123,SMOOTH MUSCLE CONTRACTION
TPM2,123,SMOOTH MUSCLE CONTRACTION
MYH1,5,TIGHT JUNCTION
MYH13,5,TIGHT JUNCTION
MYH3,5,TIGHT JUNCTION
EEF1G,188,TRANSLATION FACTORS
EIF3C,188,TRANSLATION FACTORS
CD151,133,TYPE I HEMIDESMOSOME ASSEMBLY
PLEC,133,TYPE I HEMIDESMOSOME ASSEMBLY
EWSR1,190,VEGFAVEGFR2 SIGNALING
NEXN,190,VEGFAVEGFR2 SIGNALING
