gene,pathway,database,cluster
IGLC2,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1
IGLC3,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1
ARAF,protein modification process,GO:BP,C1
TXN,HALLMARK_GLYCOLYSIS,Hallmark,C1
PRKAR1A,cellular response to chemical stimulus,GO:BP,C1
ESD,aldehyde metabolic process,GO:BP,C1
CLU,HALLMARK_COMPLEMENT,Hallmark,C1
EPB41,HALLMARK_HEME_METABOLISM,Hallmark,C1
SPTB,HALLMARK_HEME_METABOLISM,Hallmark,C1
ADH5,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1
CKB,HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,C1
ANXA3,response to external stimulus,GO:BP,C1
XRCC5,response to external stimulus,GO:BP,C1
IFITM1,response to external stimulus,GO:BP,C1
LAMP2,HALLMARK_COMPLEMENT,Hallmark,C1
RNH1,blood vessel development,GO:BP,C1
VCAN,HALLMARK_GLYCOLYSIS,Hallmark,C1
KRT10,protein modification process,GO:BP,C1
KRT5,response to external stimulus,GO:BP,C1
TPT1,response to external stimulus,GO:BP,C1
ALAD,HALLMARK_HEME_METABOLISM,Hallmark,C1
APEH,Unmapped,NA,C1
PRKAR2A,negative regulation of response to stimulus,GO:BP,C1
ENO3,HALLMARK_HYPOXIA,Hallmark,C1
CD59,HALLMARK_COMPLEMENT,Hallmark,C1
PRKCSH,Unmapped,NA,C1
PKM,HALLMARK_GLYCOLYSIS,Hallmark,C1
CPA3,Unmapped,NA,C1
PGAM2,HALLMARK_GLYCOLYSIS,Hallmark,C1
UCHL3,protein modification process,GO:BP,C1
NME1,Unmapped,NA,C1
ANK1,HALLMARK_HEME_METABOLISM,Hallmark,C1
PPP3CB,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1
FAH,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1
PSMC3,protein catabolic process,GO:BP,C1
PGAM1,HALLMARK_GLYCOLYSIS,Hallmark,C1
TSPAN8,response to external stimulus,GO:BP,C1
TYMP,response to external stimulus,GO:BP,C1
ANXA7,Unmapped,NA,C1
BTF3,Unmapped,NA,C1
PVALB,cell-cell signaling,GO:BP,C1
PSMB1,protein catabolic process,GO:BP,C1
GSTM3,cellular response to chemical stimulus,GO:BP,C1
ATP6V1B2,Unmapped,NA,C1
GPD1,cellular response to chemical stimulus,GO:BP,C1
RYR1,cellular response to chemical stimulus,GO:BP,C1
COMT,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1
OSBP,cellular response to chemical stimulus,GO:BP,C1
UBA1,protein modification process,GO:BP,C1
GPX3,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,C1
FBLN1,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1
S100A1,HALLMARK_COAGULATION,Hallmark,C1
CFL1,response to external stimulus,GO:BP,C1
ATP2B4,HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,C1
ACP1,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1
AZGP1,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1
MPST,Unmapped,NA,C1
PSMA1,inflammatory response to antigenic stimulus,GO:BP,C1
PSMA2,response to external stimulus,GO:BP,C1
PSMA4,protein catabolic process,GO:BP,C1
DDX6,Unmapped,NA,C1
U2AF2,protein modification process,GO:BP,C1
STOM,Unmapped,NA,C1
RPA1,Unmapped,NA,C1
PSMA5,protein catabolic process,GO:BP,C1
PSMB6,protein catabolic process,GO:BP,C1
GSTM2,cellular response to chemical stimulus,GO:BP,C1
CD38,regulation of tube size,GO:BP,C1
IMPA1,Unmapped,NA,C1
EPHA2,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1
TKT,aldehyde metabolic process,GO:BP,C1
PRDX6,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,C1
BLVRB,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1
DDT,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1
PEBP1,negative regulation of response to stimulus,GO:BP,C1
PDIA3,Unmapped,NA,C1
ADSS2,Unmapped,NA,C1
LRPAP1,negative regulation of response to stimulus,GO:BP,C1
ADSL,Unmapped,NA,C1
SRI,cellular response to chemical stimulus,GO:BP,C1
GDI1,response to external stimulus,GO:BP,C1
CASQ1,Unmapped,NA,C1
PRDX2,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,C1
MCM5,Unmapped,NA,C1
SHMT1,cellular response to chemical stimulus,GO:BP,C1
MPI,HALLMARK_GLYCOLYSIS,Hallmark,C1
GPC1,HALLMARK_GLYCOLYSIS,Hallmark,C1
SERPINB6,cellular response to chemical stimulus,GO:BP,C1
RDX,cellular response to chemical stimulus,GO:BP,C1
RPA3,Unmapped,NA,C1
AGL,HALLMARK_GLYCOLYSIS,Hallmark,C1
GLRX,HALLMARK_GLYCOLYSIS,Hallmark,C1
KRT2,protein modification process,GO:BP,C1
MAP2K2,Golgi organization,GO:BP,C1
ATP6V1E1,Unmapped,NA,C1
PGM1,HALLMARK_HYPOXIA,Hallmark,C1
GMPR,Unmapped,NA,C1
GPX4,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,C1
TALDO1,HALLMARK_GLYCOLYSIS,Hallmark,C1
SNCA,HALLMARK_HEME_METABOLISM,Hallmark,C1
ATP6V1A,cellular response to chemical stimulus,GO:BP,C1
COL18A1,blood vessel development,GO:BP,C1
STAT3,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1
MDH1,HALLMARK_GLYCOLYSIS,Hallmark,C1
PPP1R2,Unmapped,NA,C1
TMPO,Unmapped,NA,C1
SLC1A4,HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,C1
GPD2,HALLMARK_COMPLEMENT,Hallmark,C1
PHKA1,Unmapped,NA,C1
NSF,protein catabolic process,GO:BP,C1
RPS10,Unmapped,NA,C1
UTRN,cell-cell signaling,GO:BP,C1
STT3A,protein modification process,GO:BP,C1
LIMS1,Unmapped,NA,C1
PREP,HALLMARK_COMPLEMENT,Hallmark,C1
ME1,HALLMARK_GLYCOLYSIS,Hallmark,C1
PIP4K2A,cellular response to chemical stimulus,GO:BP,C1
GCLM,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,C1
ALDH9A1,HALLMARK_GLYCOLYSIS,Hallmark,C1
LMAN1,Golgi organization,GO:BP,C1
FNTA,protein modification process,GO:BP,C1
CDC34,protein modification process,GO:BP,C1
PCYT1A,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1
CARS1,Unmapped,NA,C1
PSMB3,protein catabolic process,GO:BP,C1
PSMB2,protein catabolic process,GO:BP,C1
TMED10,Golgi organization,GO:BP,C1
HINT1,protein modification process,GO:BP,C1
GSK3A,cellular response to chemical stimulus,GO:BP,C1
SULT1A1,cellular response to chemical stimulus,GO:BP,C1
EMD,negative regulation of response to stimulus,GO:BP,C1
ST13,response to external stimulus,GO:BP,C1
METAP2,protein modification process,GO:BP,C1
NUDT2,cellular response to chemical stimulus,GO:BP,C1
ANXA11,Unmapped,NA,C1
MECP2,response to external stimulus,GO:BP,C1
ALDH3A2,aldehyde metabolic process,GO:BP,C1
PSMD7,protein catabolic process,GO:BP,C1
STAT5B,response to external stimulus,GO:BP,C1
HDGF,HALLMARK_HEME_METABOLISM,Hallmark,C1
PRELP,Unmapped,NA,C1
PGD,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1
ARHGDIA,Unmapped,NA,C1
RIDA,Unmapped,NA,C1
AKR1C2,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1
MAPK12,protein modification process,GO:BP,C1
CACNB3,cell-cell signaling,GO:BP,C1
CACNA2D1,cellular response to chemical stimulus,GO:BP,C1
USP14,HALLMARK_COMPLEMENT,Hallmark,C1
RAD23A,HALLMARK_HEME_METABOLISM,Hallmark,C1
EIF5,Unmapped,NA,C1
DRG2,Unmapped,NA,C1
ADK,Unmapped,NA,C1
CDH13,HALLMARK_COMPLEMENT,Hallmark,C1
SNU13,Unmapped,NA,C1
NPEPPS,cellular response to chemical stimulus,GO:BP,C1
MARS1,Unmapped,NA,C1
MTPN,response to external stimulus,GO:BP,C1
DEFA3,response to external stimulus,GO:BP,C1
TPI1,HALLMARK_GLYCOLYSIS,Hallmark,C1
EIF4A1,Unmapped,NA,C1
PRPS1,HALLMARK_GLYCOLYSIS,Hallmark,C1
PSMA6,response to external stimulus,GO:BP,C1
CDC42,Golgi organization,GO:BP,C1
DSTN,Unmapped,NA,C1
RAB2A,Golgi organization,GO:BP,C1
UBE2D3,protein modification process,GO:BP,C1
UBE2M,protein modification process,GO:BP,C1
UBE2N,response to external stimulus,GO:BP,C1
RAB14,response to external stimulus,GO:BP,C1
COPS2,protein modification process,GO:BP,C1
RAP1B,cellular response to chemical stimulus,GO:BP,C1
PCBD1,Unmapped,NA,C1
RHOA,response to external stimulus,GO:BP,C1
PKIA,protein modification process,GO:BP,C1
SUMO2,protein modification process,GO:BP,C1
NUTF2,Unmapped,NA,C1
YWHAG,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,C1
SNRPD3,protein modification process,GO:BP,C1
RAB1A,Golgi organization,GO:BP,C1
GNB1,cellular response to chemical stimulus,GO:BP,C1
GNB2,HALLMARK_COMPLEMENT,Hallmark,C1
FKBP1A,protein modification process,GO:BP,C1
RAC1,HALLMARK_COAGULATION,Hallmark,C1
VAMP2,cellular response to chemical stimulus,GO:BP,C1
PPP3R1,blood vessel development,GO:BP,C1
YWHAZ,Golgi organization,GO:BP,C1
UBE2B,protein modification process,GO:BP,C1
PPP2R2A,protein modification process,GO:BP,C1
SKP1,protein modification process,GO:BP,C1
EIF5A,response to external stimulus,GO:BP,C1
PPP2CA,response to external stimulus,GO:BP,C1
UBE2L3,cellular response to chemical stimulus,GO:BP,C1
PAFAH1B2,Unmapped,NA,C1
HBB,HALLMARK_HEME_METABOLISM,Hallmark,C1
HBA1,cellular response to chemical stimulus,GO:BP,C1
DCD,response to external stimulus,GO:BP,C1
SARNP,Unmapped,NA,C1
ARF1,response to external stimulus,GO:BP,C1
MXRA7,Unmapped,NA,C1
MPP1,HALLMARK_HEME_METABOLISM,Hallmark,C1
PITPNA,Unmapped,NA,C1
FKBP3,Unmapped,NA,C1
FABP5,HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,C1
CACNB1,cellular response to chemical stimulus,GO:BP,C1
FKBP4,HALLMARK_GLYCOLYSIS,Hallmark,C1
UBXN1,protein modification process,GO:BP,C1
GLO1,aldehyde metabolic process,GO:BP,C1
UBE3A,cellular response to chemical stimulus,GO:BP,C1
SRSF11,Unmapped,NA,C1
COL14A1,Unmapped,NA,C1
CACNG1,Unmapped,NA,C1
PRDX1,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,C1
PUDP,Unmapped,NA,C1
CD47,response to external stimulus,GO:BP,C1
SCRN3,Unmapped,NA,C1
EFEMP1,protein modification process,GO:BP,C1
STX4,HALLMARK_COMPLEMENT,Hallmark,C1
ILF3,response to external stimulus,GO:BP,C1
COASY,Unmapped,NA,C1
MTAP,Unmapped,NA,C1
PAK1,response to external stimulus,GO:BP,C1
CBX3,cellular response to chemical stimulus,GO:BP,C1
PSMD2,protein catabolic process,GO:BP,C1
SELENBP1,HALLMARK_HEME_METABOLISM,Hallmark,C1
SGCG,Unmapped,NA,C1
CTBP1,protein modification process,GO:BP,C1
SNTA1,regulation of tube size,GO:BP,C1
FKBP5,response to external stimulus,GO:BP,C1
SQSTM1,response to external stimulus,GO:BP,C1
ART3,Unmapped,NA,C1
PIN1,cellular response to chemical stimulus,GO:BP,C1
NAE1,protein modification process,GO:BP,C1
STIM1,blood vessel development,GO:BP,C1
CUL1,protein modification process,GO:BP,C1
AAMP,blood vessel development,GO:BP,C1
CACNA1S,cellular response to chemical stimulus,GO:BP,C1
BLMH,protein modification process,GO:BP,C1
SNTB1,Unmapped,NA,C1
PRKG1,response to external stimulus,GO:BP,C1
HNRNPD,cellular response to chemical stimulus,GO:BP,C1
DAG1,response to external stimulus,GO:BP,C1
EIF4A2,Unmapped,NA,C1
GAMT,Unmapped,NA,C1
PRPSAP1,Unmapped,NA,C1
ITIH4,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1
NUMA1,Unmapped,NA,C1
KARS1,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1
EIF4H,Unmapped,NA,C1
PDIA6,Unmapped,NA,C1
PAFAH1B3,Unmapped,NA,C1
PLCL1,cell-cell signaling,GO:BP,C1
PPP2R5A,Unmapped,NA,C1
PTGES3,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1
PTPA,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,C1
TMED2,Golgi organization,GO:BP,C1
ELOB,protein modification process,GO:BP,C1
UBE3C,protein modification process,GO:BP,C1
MAPRE2,Unmapped,NA,C1
TSN,Unmapped,NA,C1
TRIP10,Unmapped,NA,C1
MYLK,cellular response to chemical stimulus,GO:BP,C1
UBE2V2,protein modification process,GO:BP,C1
ADIRF,Unmapped,NA,C1
ADRM1,protein catabolic process,GO:BP,C1
CDC37,response to external stimulus,GO:BP,C1
SGCB,cellular response to chemical stimulus,GO:BP,C1
SGCA,Unmapped,NA,C1
GUK1,cellular response to chemical stimulus,GO:BP,C1
HAGH,aldehyde metabolic process,GO:BP,C1
TXNRD1,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,C1
HIKESHI,Golgi organization,GO:BP,C1
DCAF6,protein modification process,GO:BP,C1
TOR1AIP1,Unmapped,NA,C1
GNAS,inflammatory response to antigenic stimulus,GO:BP,C1
UBR4,protein modification process,GO:BP,C1
MICOS10,Unmapped,NA,C1
PDE4DIP,Golgi organization,GO:BP,C1
SYPL2,Unmapped,NA,C1
RAB12,protein catabolic process,GO:BP,C1
DENND5A,Unmapped,NA,C1
RCSD1,cellular response to chemical stimulus,GO:BP,C1
CAVIN1,HALLMARK_HYPOXIA,Hallmark,C1
TMEM205,Unmapped,NA,C1
DHRS11,Unmapped,NA,C1
NAPRT,Unmapped,NA,C1
KYAT3,Unmapped,NA,C1
TOM1L2,Unmapped,NA,C1
BZW1,Unmapped,NA,C1
RRM2B,negative regulation of response to stimulus,GO:BP,C1
SPRED2,protein modification process,GO:BP,C1
HUWE1,Golgi organization,GO:BP,C1
ALYREF,Unmapped,NA,C1
VPS36,protein catabolic process,GO:BP,C1
CARM1,cellular response to chemical stimulus,GO:BP,C1
NIT1,Unmapped,NA,C1
SLC44A2,Unmapped,NA,C1
MSRB3,Unmapped,NA,C1
ELMOD2,response to external stimulus,GO:BP,C1
ALDH16A1,Unmapped,NA,C1
ADSS1,cellular response to chemical stimulus,GO:BP,C1
CISD2,Unmapped,NA,C1
JAGN1,response to external stimulus,GO:BP,C1
PTGR2,Unmapped,NA,C1
ATL2,Golgi organization,GO:BP,C1
NPLOC4,Golgi organization,GO:BP,C1
RDH11,aldehyde metabolic process,GO:BP,C1
LRRC20,Unmapped,NA,C1
NT5C,Unmapped,NA,C1
NEK7,HALLMARK_HEME_METABOLISM,Hallmark,C1
DTD1,Unmapped,NA,C1
NUP133,Unmapped,NA,C1
PDCD6IP,protein catabolic process,GO:BP,C1
NUDCD2,Unmapped,NA,C1
IFT81,Unmapped,NA,C1
PSMF1,protein catabolic process,GO:BP,C1
UBXN4,protein catabolic process,GO:BP,C1
SGCD,blood vessel development,GO:BP,C1
DDX17,response to external stimulus,GO:BP,C1
CUL5,protein modification process,GO:BP,C1
ATP2A3,Unmapped,NA,C1
PHKB,Unmapped,NA,C1
UBE2F,protein modification process,GO:BP,C1
WBP2,cellular response to chemical stimulus,GO:BP,C1
PTER,Unmapped,NA,C1
ZBTB9,Unmapped,NA,C1
DCPS,Unmapped,NA,C1
CCDC124,Unmapped,NA,C1
CMBL,cellular response to chemical stimulus,GO:BP,C1
DYNLL2,Unmapped,NA,C1
SCRN2,Unmapped,NA,C1
OTUB1,protein modification process,GO:BP,C1
DCUN1D1,HALLMARK_HEME_METABOLISM,Hallmark,C1
PYURF,Unmapped,NA,C1
ABHD14B,Unmapped,NA,C1
TMX3,Unmapped,NA,C1
BTF3L4,Unmapped,NA,C1
USP47,protein modification process,GO:BP,C1
CNDP2,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1
STAC3,cell-cell signaling,GO:BP,C1
QKI,blood vessel development,GO:BP,C1
PLIN4,Unmapped,NA,C1
ALKBH3,Unmapped,NA,C1
VPS35,response to external stimulus,GO:BP,C1
METTL26,Unmapped,NA,C1
CLCC1,Unmapped,NA,C1
PEBP4,Unmapped,NA,C1
PSMB7,protein catabolic process,GO:BP,C1
PSMD1,protein catabolic process,GO:BP,C1
PAFAH2,Unmapped,NA,C1
PARK7,aldehyde metabolic process,GO:BP,C1
TSNAX,Unmapped,NA,C1
COPS8,protein modification process,GO:BP,C1
CHP1,protein modification process,GO:BP,C1
TXN2,Unmapped,NA,C1
TSG101,protein modification process,GO:BP,C1
CPNE1,cellular response to chemical stimulus,GO:BP,C1
PRMT1,cellular response to chemical stimulus,GO:BP,C1
WDR77,protein modification process,GO:BP,C1
JPH2,Unmapped,NA,C1
TXNDC17,cellular response to chemical stimulus,GO:BP,C1
CPPED1,Unmapped,NA,C1
MIEN1,Unmapped,NA,C1
LXN,HALLMARK_HYPOXIA,Hallmark,C1
COPS4,protein modification process,GO:BP,C1
ADI1,Unmapped,NA,C1
TMED9,Golgi organization,GO:BP,C1
NT5C1A,Unmapped,NA,C1
NLN,Unmapped,NA,C1
ASPSCR1,protein modification process,GO:BP,C1
NIBAN1,protein modification process,GO:BP,C1
UBXN6,protein catabolic process,GO:BP,C1
LNPK,Unmapped,NA,C1
PITHD1,protein catabolic process,GO:BP,C1
NIF3L1,Unmapped,NA,C1
NT5C3A,response to external stimulus,GO:BP,C1
HDHD2,Unmapped,NA,C1
C11orf54,Unmapped,NA,C1
TMX4,Unmapped,NA,C1
MYLK2,protein modification process,GO:BP,C1
SH3BGRL3,Unmapped,NA,C1
PPIL3,Unmapped,NA,C1
C11orf68,Unmapped,NA,C1
RBKS,Unmapped,NA,C1
AAMDC,Unmapped,NA,C1
METTL7A,Unmapped,NA,C1
ARMT1,Unmapped,NA,C1
COPS7B,protein modification process,GO:BP,C1
CARS2,Unmapped,NA,C1
GLOD4,Unmapped,NA,C1
HHATL,protein modification process,GO:BP,C1
MRPL47,Unmapped,NA,C1
DYNLRB1,Unmapped,NA,C1
PFDN4,Unmapped,NA,C1
NIT2,Unmapped,NA,C1
GPHN,Unmapped,NA,C1
MBNL1,Unmapped,NA,C1
PHPT1,protein modification process,GO:BP,C1
LANCL2,cellular response to chemical stimulus,GO:BP,C1
OLA1,Unmapped,NA,C1
DDX19A,Unmapped,NA,C1
SEPTIN11,Unmapped,NA,C1
PARVA,response to external stimulus,GO:BP,C1
PNPO,aldehyde metabolic process,GO:BP,C1
CZIB,Unmapped,NA,C1
MAP3K20,protein modification process,GO:BP,C1
UGGT1,protein modification process,GO:BP,C1
CLIC5,Unmapped,NA,C1
MYOF,HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,C1
GMPR2,Unmapped,NA,C1
IMPACT,Unmapped,NA,C1
EPS15L1,Unmapped,NA,C1
GRHPR,aldehyde metabolic process,GO:BP,C1
UBA2,protein modification process,GO:BP,C1
COPS7A,protein modification process,GO:BP,C1
NIPSNAP3A,Unmapped,NA,C1
PCYOX1,protein catabolic process,GO:BP,C1
DPP7,protein catabolic process,GO:BP,C1
ENOPH1,Unmapped,NA,C1
EIF2B4,Unmapped,NA,C1
ATP6V1H,HALLMARK_PROTEIN_SECRETION,Hallmark,C1
TRMT112,protein modification process,GO:BP,C1
LCMT1,protein modification process,GO:BP,C1
JPT1,Unmapped,NA,C1
CDV3,Unmapped,NA,C1
RAB21,Unmapped,NA,C1
DNPEP,Unmapped,NA,C1
TBC1D24,cellular response to chemical stimulus,GO:BP,C1
NDRG2,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,C1
SNX6,cellular response to chemical stimulus,GO:BP,C1
COPS3,protein modification process,GO:BP,C1
NSFL1C,Golgi organization,GO:BP,C1
CHMP2B,protein catabolic process,GO:BP,C1
PIN4,Unmapped,NA,C1
PLAA,response to external stimulus,GO:BP,C1
MRPS35,Unmapped,NA,C1
SH3GLB1,Unmapped,NA,C1
PPIL1,protein modification process,GO:BP,C1
USP15,HALLMARK_COMPLEMENT,Hallmark,C1
TLN2,Unmapped,NA,C1
DTNA,HALLMARK_HYPOXIA,Hallmark,C1
PPME1,protein modification process,GO:BP,C1
